lens,role_unit_key,dominant_role_dev,occurrences_dev,distinct_lines_dev,dominant_role_heldout,occurrences_heldout,distinct_lines_heldout,dominant_role_share,stratified_role_purity,strata_total,distinct_section_I,metadata_concentration_risk_max_share,supported_loose,supported_standard,basis,seen_in_heldout,same_dominant_role,heldout_retained_loose
broad_shape,X|NONE,R06,25,25,R06,21,21,0.81,0.905,5,4,0.619,True,False,folio,True,True,True
stolfi_inspired_signature,NG|S_OEL|T_in,R06,66,58,R06,27,24,0.889,0.889,8,5,0.926,True,False,folio,True,True,True
stolfi_inspired_signature,NG|S_EY|T_y,R06,64,60,R06,40,36,1.0,1.0,10,5,0.95,False,False,folio,True,True,False
stolfi_inspired_signature,G_k|S_OL|T_r,R03,47,43,R03,21,16,0.762,0.857,8,4,0.905,True,False,folio,True,True,True
stolfi_inspired_signature,NG|S_EY|T_ey,R06,40,37,R06,23,21,0.783,0.826,8,5,0.957,False,False,folio,True,True,False
stolfi_inspired_signature,NG|S_OL|T_m,R06,33,32,R06,18,17,0.556,0.667,7,5,0.944,False,False,folio,True,True,False
stolfi_inspired_signature,NG|S_X|T_NONE,R06,25,25,R06,21,21,0.81,0.905,5,4,0.619,True,False,folio,True,True,True
surface_token,dar,R06,38,37,R06,11,10,1.0,1.0,5,2,1.0,False,False,folio,True,True,False
surface_token,ar,R06,37,35,R06,21,17,1.0,1.0,6,4,1.0,False,False,folio,True,True,False
surface_token,aiin,R06,36,30,R06,21,21,1.0,1.0,8,5,0.952,False,False,folio,True,True,False
surface_token,or,R06,33,32,R06,15,14,1.0,1.0,7,4,1.0,False,False,folio,True,True,False
surface_token,shey,R06,31,30,R06,17,16,1.0,1.0,8,4,0.882,False,False,folio,True,True,False
surface_token,okeey,R06,28,27,R06,9,9,1.0,1.0,7,5,0.778,False,False,folio,True,True,False
surface_token,dal,R09,27,26,R09,10,10,1.0,1.0,9,6,0.8,False,False,folio,True,True,False
surface_token,chor,R11,25,24,R11,23,23,1.0,1.0,7,4,1.0,False,False,folio,True,True,False
surface_token,okaiin,R10,25,25,R10,17,16,1.0,1.0,5,4,1.0,False,False,folio,True,True,False
surface_token,okal,R07,25,24,R07,11,10,1.0,1.0,5,4,0.909,False,False,folio,True,True,False
broad_shape,X|NONE,R06,32,32,R06,14,14,0.857,0.857,6,5,0.5,False,False,line,True,True,False
broad_shape,O|dy,R00,30,30,R00,13,13,0.769,0.923,9,4,0.692,False,False,line,True,True,False
broad_shape,X|y,R06,26,25,R06,4,4,1.0,1.0,3,2,0.75,False,False,line,True,True,False
conservative_morphology,o|dy|O,R00,28,28,R00,13,13,0.769,0.923,9,4,0.692,False,False,line,True,True,False
stolfi_inspired_signature,NG|S_EY|T_y,R06,76,70,R06,28,26,1.0,1.0,9,6,0.964,False,False,line,True,True,False
stolfi_inspired_signature,G_k|S_OL|T_r,R03,45,38,R03,23,21,0.87,1.0,11,6,0.783,True,False,line,True,True,True
stolfi_inspired_signature,NG|S_EY|T_ey,R06,37,34,R06,26,24,0.846,0.885,11,8,0.885,True,True,line,True,True,True
stolfi_inspired_signature,NG|S_X|T_NONE,R06,32,32,R06,14,14,0.857,0.857,6,5,0.5,False,False,line,True,True,False
stolfi_inspired_signature,NG|S_XY|T_y,R06,26,25,R06,4,4,1.0,1.0,3,2,0.75,False,False,line,True,True,False
surface_token,dar,R06,38,36,R06,11,11,1.0,1.0,9,5,0.727,False,False,line,True,True,False
surface_token,shey,R06,38,36,R06,10,10,1.0,1.0,6,5,1.0,False,False,line,True,True,False
surface_token,ar,R06,37,34,R06,21,18,1.0,1.0,6,4,1.0,False,False,line,True,True,False
surface_token,or,R06,37,35,R06,11,11,1.0,1.0,6,5,1.0,False,False,line,True,True,False
surface_token,aiin,R06,32,29,R06,25,22,1.0,1.0,8,6,0.96,False,False,line,True,True,False
surface_token,okaiin,R10,32,31,R10,10,10,1.0,1.0,4,4,0.9,False,False,line,True,True,False
surface_token,chor,R11,29,28,R11,19,19,1.0,1.0,8,4,0.947,True,False,line,True,True,True
surface_token,dal,R09,27,26,R09,10,10,1.0,1.0,5,4,0.8,False,False,line,True,True,False
surface_token,s,R06,27,27,R06,12,12,1.0,1.0,6,5,0.5,False,False,line,True,True,False
surface_token,okeey,R06,26,26,R06,11,10,1.0,1.0,4,3,0.636,False,False,line,True,True,False
